Month, ocity_name, dcity_name, Ratio of migration from B to A over total migration into A_monthly average, Ratio of migration from A to B over total migration out of A_monthly 
23-Jun,Handan,Hebi,0.371666667,0.395
23-Jun,Handan,Jincheng,0.334166667,0.366666667
23-Jun,Handan,Wuhan,0.3275,0.346666667
23-Jun,Handan,Yantai,0.271666667,0.344166667
23-Jun,Handan,Rizhao,0.249166667,0.343333333
23-Jun,Handan,Xuzhou,0.195833333,0.29
23-Jun,Handan,Kaifeng,0.2525,0.28
23-Jun,Handan,Weihai,0.176666667,0.276666667
23-Jun,Handan,Suzhou,0.298333333,0.268333333
23-Jun,Handan,Jiaozuo,0.205833333,0.255833333
23-Jun,Handan,Binzhou,0.181666667,0.215833333
23-Jun,Handan,Chengde,0.223333333,0.201666667
23-Jun,Handan,Suzhou,0.085,0.190833333
23-Jun,Handan,Hangzhou,0.199166667,0.1875
23-Jun,Handan,Xuchang,0.181666667,0.185
23-Jun,Handan,Hefei,0.175,0.1825
23-Jun,Handan,Nanjing,0.216666667,0.1775
23-Jun,Handan,Shangqiu,0.179166667,0.176666667
23-Jun,Handan,Luan,0.188333333,0.1725
23-Jun,Handan,Zhoukou,0.24,0.171666667
23-Jun,Handan,Nanyang,0.155,0.169166667
23-Jun,Handan,Changsha,0.155,0.168333333
23-Jun,Handan,Zhumadian,0.1475,0.149166667
